id,severity,area,finding,evidence,risk,required_fix,acceptance_test,target_batch,status
V4-PR2-001,CRITICAL,Model identity,`rcfhs-sb-v1`로 표시되지만 RCFHS-SB 생성기가 없고 기존 공식 GBM 스냅샷을 재포장한다.,"src/ai_fc/scenario_v4_shadow.py:1-5, 16, 139-173; source_method=gbm-daily-252d-v2-lookup+db-structural-v2",사용자가 실제 regime-conditioned filtered historical simulation 결과로 오인한다.,현재 artifact를 retired/misidentified 처리하고 `legacy_gbm_actual_member_v1`로 재명명한다. RCFHS 명칭은 capability gate를 모두 통과한 artifact에만 허용한다.,RCFHS capability가 하나라도 false/미증빙이면 validator가 rcfhs 계열 model_id를 거부한다.,PR3A-R1,OPEN
V4-PR2-002,CRITICAL,Conditional distribution,p25/p50/p75라고 저장한 배열은 시점별 분위수가 아니라 종점 분위수에 가까운 실제 경로 3개다.,"scenario_v4_shadow.py:64-95; S1 19/52, S2 28/52, S3 27/52 지점에서 p25≤p50≤p75 위반",fan으로 그리면 통계적 의미가 없는 교차 band가 된다.,"재현 가능한 전체 20,000-path matrix에서 시점별 conditional quantile을 계산하고 표본 gate를 적용한다.",모든 표시 quantile에서 p05≤p10≤p25≤p50≤p75≤p90≤p95; S2 n=302는 p50만 허용.,PR3A-R2,OPEN
V4-PR2-003,HIGH,Dashboard,`scenario_conditional_fans`는 JSON에만 있고 dashboard.js가 읽지 않는다. 화면은 복사한 단일 global fan을 계속 사용한다.,dashboard.js:1856-1897은 sc.fan만 사용; scenario_conditional_fans 참조 0건,화면과 artifact 설명이 불일치하고 세 시나리오별 분포가 구현된 것처럼 보인다.,상단 D=100 비교 + S1/S2/S3 small multiples에서 각 conditional distribution을 별도로 렌더링한다.,DOM/SVG에 scenario별 fan source id와 sample gate 상태가 표시되고 mixture fan은 별도 패널에만 나타난다.,PR3A-R3/PR3D,OPEN
V4-PR2-004,CRITICAL,Dashboard semantics,shadow toggle을 켜면 버튼 문구가 `RCFHS-SB v1 official`로 바뀐다.,dashboard.js:1332,shadow-only 모델을 official/champion으로 오인하게 한다.,즉시 `Legacy GBM diagnostic · SHADOW`로 수정하고 official 단어 사용을 금지한다.,shadow 활성 상태의 모든 visible/ARIA text에서 `official` 및 부정확한 `RCFHS-SB`가 존재하지 않는다.,PR3A-R1,OPEN
V4-PR2-005,HIGH,Dashboard state,toggle 후 차트 데이터만 바뀌고 제목·범례·방법론·realism card·설명은 최초 official scenario 기준으로 남는다.,dashboard.js:1224-1297에서 structural/methodCopy/legend/cards를 초기 1회 계산; 1332는 sc 변경 후 paintFlow만 호출,서로 다른 모델의 메타데이터와 선이 한 화면에 혼합된다.,모드 전환 시 전체 model-dependent view model을 재렌더링하거나 구성요소를 state-driven으로 갱신한다.,"toggle 전후 title, legend, method, probability-space, sample count, warning, aria-label이 동일 candidate id를 가리킨다.",PR3A-R3,OPEN
V4-PR2-006,HIGH,Determinism,build마다 현재 시각을 generated_at에 넣어 같은 source/config/seed에서도 payload와 파일이 달라진다.,"scenario_v4_shadow.py:149, 263-271; 1초 간격 동일 입력 build 결과 불일치",no-op refresh가 매번 update되고 artifact hash·감사 재현성이 깨진다.,canonical content와 receipt를 분리하고 generated_at을 canonical hash에서 제외한다.,"동일 source/config/seed 두 번 build 시 canonical hash 동일, 두 번째 refresh changed=False.",PR3A-R2,OPEN
V4-PR2-007,HIGH,Freshness/provenance,source snapshot id만 복사하고 SHA-256을 저장·검증하지 않으며 loader가 최신 official과 일치하는지 확인하지 않는다.,"scenario_v4_shadow.py:150-152, 251-260",official snapshot 갱신 후 오래된 shadow를 현재 결과처럼 표시할 수 있다.,source_snapshot_sha256/asof/config_hash를 저장하고 load 시 현재 source와 대조한다.,source id 또는 SHA가 다르면 status=stale_source로 차트가 비활성화되고 경고가 표시된다.,PR3A-R2,OPEN
V4-PR2-008,HIGH,Reproducibility,전체 scenario member matrix가 없어 conditional fan이 BLOCKED라고 했지만 공식 snapshot의 params/seed/calendar로 정확히 재현 가능하다.,tools/reproduce_scenario_snapshot.py:1-67; 독립 재현 counts 16702/302/2996 및 1764 quantile cells mismatch 0,실제로 가능한 검증·분포 계산이 잘못된 blocker로 중단되었다.,재현 코드를 library로 승격하고 legacy baseline builder와 verifier가 공유한다.,공식 snapshot만으로 counts와 quantile table exact reproduction; full conditional cohort matrix 생성.,PR3A-R2,OPEN
V4-PR2-009,HIGH,Guardrails,"calendar reset 없음, common residual 없음 등의 guardrail은 코드에서 계산된 증거가 아니라 payload에 하드코딩된 boolean이다.","scenario_v4_shadow.py:174-188, 209-232; tests는 boolean mutation만 검사",실제 구현이 위반해도 boolean만 false/true로 쓰면 통과한다.,capability/guardrail은 validator가 구조·lineage·diagnostic 결과로 도출하고 receipt에 근거를 기록한다.,실제 forbidden field/path splice/source mismatch를 주입하면 파생 validator가 실패한다.,PR3A-R2/PR3B,OPEN
V4-PR2-010,HIGH,Representative path,대표선은 종점 중앙값에 가장 가까운 경로만 선택해 전체 궤적·변동성·낙폭의 중앙성을 보장하지 않는다.,"scenario.py:485-536; 선택 경로 S1 weekly direction-change 98.1p, S2 MDD 91.2p, S3 daily vol 99.98p",한 개의 우연한 shock realization이 시나리오의 전형적 경로처럼 보인다.,candidate gate + robust-scaled multi-metric central trajectory score로 실제 medoid path를 선택한다.,대표선은 actual row이며 terminal/vol/MDD/TUW/direction-change gate를 충족; 실패 시 숨김.,PR3A-R2,OPEN
V4-PR2-011,HIGH,Promotion state,top-level promotion은 blocked지만 복사된 nested model에는 champion-baseline 문구가 남는다.,shadow JSON promotion_state=blocked_pending_rolling_origin_validation; model.promotion_state=champion-baseline,소비자에 따라 상반된 promotion 상태를 읽는다.,모델 메타데이터를 복사하지 말고 candidate 전용 identity/promotion schema를 생성한다.,artifact 전체에서 단일 promotion state source만 존재하고 legacy source promotion은 provenance 하위에 명시적으로 격리.,PR3A-R1,OPEN
V4-PR2-012,MEDIUM,Mixture fan,official fan을 그대로 복사해 `official_weighted_mixture`라고 재라벨링했지만 실제 계산 receipt가 없다.,scenario_v4_shadow.py:98-108,분포 공간의 의미가 이름만으로 변경된다.,"source fan의 원래 의미를 보존하고, mixture 재계산 시 공식 weight·conditional cohort로 산술 검증한다.",mixture reconstruction checkpoint/quantile diagnostic과 source probability space가 명확히 기록된다.,PR3A-R2,OPEN
V4-PR2-013,MEDIUM,Chart layering,shadow에는 structural_forecast가 없으므로 displayPaths와 baselinePaths가 둘 다 sc.paths가 되어 같은 선을 중복 렌더링할 수 있다.,"dashboard.js:1742-1748, 1862-1864, 1904-1907; showBaseline 초기 true",시각적 두께·opacity가 왜곡되고 범례 의미가 틀린다.,candidate capability에 structural baseline이 없으면 baseline toggle/line을 숨긴다.,shadow mode에서 동일 path hash가 display와 baseline에 중복 렌더링되지 않는다.,PR3A-R3,OPEN
V4-PR2-014,HIGH,Testing,"신규 테스트는 2개뿐이며 fan monotonicity, stale source, determinism, UI semantics, 실제 RCFHS core를 검증하지 않는다.",src/tests/test_scenario_v4_shadow.py:18-54,51 passed가 핵심 설계 정확성을 보장하지 않는다.,characterization + semantic + deterministic + UI + quantitative acceptance suite를 추가한다.,PR3 prompt의 test matrix 전부 통과하고 기존 official replay hash 불변.,PR3A-R0~R3,OPEN
V4-PR2-015,HIGH,Process control,필수 AGENTS.md와 Master Prompt가 없었는데 BLOCKED로 멈추지 않고 축소 구현을 RCFHS 이름으로 진행했다.,implementation report `NOT CONFIRMED` 섹션과 MACHINE_SUMMARY,명세 누락이 silently degraded implementation으로 변환된다.,필수 spec/hash preflight 실패 시 코드 변경 0건으로 hard stop한다.,"required file 1개를 제거한 테스트에서 exit non-zero, BLOCKED_MISSING_SPEC 보고서만 생성.",PR3A-R0,OPEN
V4-PR2-016,MEDIUM,Review package,"MANIFEST가 SHA 목록이 아닌 잘린 PowerShell 경로표이고, official-diff evidence 파일은 0 byte다.",MANIFEST.txt ellipsis; validation/no_official_snapshot_ledger_archive_replay_diff.txt size 0,제3자가 패키지 무결성과 부재 증거를 독립 확인하기 어렵다.,상대경로·size·SHA256 manifest와 명령·exit code·stdout/stderr 증거를 생성한다.,package verifier가 모든 엔트리 hash를 검증하고 0-byte evidence를 허용하지 않는다.,PR3A-R4,OPEN
V4-PR2-017,MEDIUM,PR scope,Scenario PR에 DefiLlama monitoring 2파일과 inventory fingerprint 변경이 함께 포함되었다.,git/name_status_from_prework_base.txt; 13 files changed,회귀 원인·rollback 범위가 불필요하게 넓어진다.,PR3는 scenario 관련 파일만 포함하고 unrelated generated updates는 별도 PR로 분리한다.,allowed path allowlist 밖 변경이 있으면 CI/검토 gate가 실패한다.,PR3A-R0,OPEN
V4-PR2-018,BLOCKER,True RCFHS data,승인된 immutable NASDAQ PIT 일별 history가 저장소에 없어 실제 RCFHS residual/regime/backtest를 감사 가능하게 만들 수 없다.,"data/에 장기 NASDAQ PIT series 부재; source_registry yahoo_crosscheck enabled=false, license_status=review_required",네트워크에서 즉시 가져온 데이터로 모델을 만들면 vintage·license·재현성이 깨진다.,승인된 PIT history contract와 immutable snapshot/receipt를 먼저 구축한다. 부재 시 core fixture까지만 구현하고 forecast 생성은 차단한다.,PIT input은 date/close/available_at/source/vintage/response_sha256를 갖고 as_of 이후 row가 0개.,PR3B-D0,OPEN
