batch,defect_id,severity,current_file,current_symbol,current_behavior,required_behavior,proposed_file,proposed_symbol,tests_required,backward_compatibility_risk,artifact_impact,dashboard_impact,gate,notes
PR3A-R1,V4-PR2-001,CRITICAL,src/ai_fc/scenario_v4_shadow.py,SHADOW_VERSION/build_shadow_payload,Legacy GBM wrapper declares rcfhs-sb-v1,Retire misidentified identity and require evidence-backed capabilities,src/ai_fc/scenario_shadow/contracts.py,validate_model_identity,test_rcfhs_identity_rejected_without_capabilities,HIGH,Retire old latest without changing bytes,Remove invalid candidate,RCFHS identity invalid until true engine exists,Current artifact is legacy GBM diagnostic
PR3A-R2,V4-PR2-002,CRITICAL,src/ai_fc/scenario_v4_shadow.py,_scenario_conditional_fans,Terminal-percentile paths are stored as p25/p50/p75,Compute pointwise conditional quantiles from exact cohort matrix,src/ai_fc/scenario_shadow/legacy_actual_member.py,build_scenario_distributions,test_conditional_quantiles_are_pointwise;test_conditional_quantiles_monotone,HIGH,New schema-v2 diagnostic,Scenario small multiples consume gated quantiles,All quantiles monotone,S2 n=302 permits p50 only
PR3A-R3,V4-PR2-003,HIGH,src/ai_fc/dashboard_parts/dashboard.js,drawFlow,Dashboard reads sc.fan and ignores scenario_conditional_fans,Render conditional small multiples and separate unconditional panel,src/ai_fc/dashboard_parts/dashboard.js,buildScenarioChartViewModel/drawDiagnosticPanels,test_dashboard_does_not_use_unconditional_fan_as_scenario_fan,MEDIUM,None,Major view-state change,DOM contracts pass,Keep official default
PR3A-R1,V4-PR2-004,CRITICAL,src/ai_fc/dashboard_parts/dashboard.js,shadowButton.onclick,Active shadow label says official,Remove active RCFHS and official mislabels,src/ai_fc/dashboard_parts/dashboard.js,renderFlow mode controls,test_dashboard_diagnostic_toggle_never_says_official,LOW,None,Immediate semantic safety fix,No invalid visible or ARIA text,Diagnostic hidden until R3
PR3A-R3,V4-PR2-005,HIGH,src/ai_fc/dashboard_parts/dashboard.js,renderFlow/paintFlow,Only chart data changes while metadata remains official,Build all model-dependent copy from active view model,src/ai_fc/dashboard_parts/dashboard.js,buildScenarioChartViewModel/test_toggle_updates_all_model_dependent_copy,MEDIUM,None,All labels and controls update,Single candidate identity per mode,No mixed model state
PR3A-R2,V4-PR2-006,HIGH,src/ai_fc/scenario_v4_shadow.py,build_shadow_payload/refresh_shadow,generated_at changes payload and every refresh writes,Separate canonical content from receipt and no-op on equal hash,src/ai_fc/scenario_shadow/persistence.py,canonical_payload_sha256/write_candidate,test_second_refresh_is_noop,MEDIUM,New deterministic latest and receipts,Shows canonical hash,Same input/config/seed no rewrite,generated_at excluded
PR3A-R2,V4-PR2-007,HIGH,src/ai_fc/scenario_v4_shadow.py,load_shadow,Loader does not compare source id/SHA/asof,Return structured stale_source and block display,src/ai_fc/scenario_shadow/persistence.py,load_candidate,test_source_sha_mismatch_marks_stale,MEDIUM,Adds source hashes and load status,Stale warning disables chart,Source freshness gate,Corrupt JSON is structured invalid
PR3A-R2,V4-PR2-008,HIGH,tools/reproduce_scenario_snapshot.py,verify,Exact matrix reproduction logic is tool-local and PR2 claims blocked,Move exact replay to reusable library and verify 1764 cells,src/ai_fc/scenario_shadow/legacy_reproduction.py,reproduce_legacy_snapshot,test_legacy_reproduction_daily_quantiles_exact_1764_cells,LOW,No official mutation,None,Exact replay gate,Tool becomes adapter
PR3A-R2,V4-PR2-009,HIGH,src/ai_fc/scenario_v4_shadow.py,validate_shadow_payload,Self-declared guardrail booleans are accepted,Derive invariants from actual schema/lineage/content,src/ai_fc/scenario_shadow/contracts.py,validate_candidate,test_forbidden_content_is_detected,MEDIUM,Schema-v2 validation,Only valid candidates exposed,Behavioral validation,Do not trust booleans
PR3A-R2,V4-PR2-010,HIGH,src/ai_fc/scenario_v4_shadow.py,_actual_member_paths,Representative is nearest terminal median only,Select actual row with multi-metric gate and robust trajectory score,src/ai_fc/scenario_shadow/representative.py,select_actual_representative_path,test_representative_is_actual_global_row;test_representative_candidate_metrics_in_gate,MEDIUM,Representative IDs and metrics change,More central actual rows,Metric gates and deterministic tie break,S3 old representative has 99.98p volatility
PR3A-R1,V4-PR2-011,HIGH,src/ai_fc/scenario_v4_shadow.py,build_shadow_payload,Copied nested model says champion-baseline while top-level is blocked,Use candidate-only single promotion state,src/ai_fc/scenario_shadow/contracts.py,validate_model_identity,test_single_promotion_state,MEDIUM,Old artifact retired,No conflicting badge,Exactly one candidate promotion state,Legacy source promotion stays provenance-only
PR3A-R2,V4-PR2-012,MEDIUM,src/ai_fc/scenario_v4_shadow.py,_official_weighted_mixture_fan,Global fan is relabelled as official-weighted mixture without computation,Preserve unconditional joint meaning and compute mixtures from samples only,src/ai_fc/scenario_shadow/legacy_actual_member.py,build_unconditional_distribution,test_mixture_quantile_is_not_weighted_quantile_average,MEDIUM,Renames distribution space,Separate panel,Distribution-space contract,No weighted quantile averaging
PR3A-R3,V4-PR2-013,MEDIUM,src/ai_fc/dashboard_parts/dashboard.js,flowDisplayPath/drawFlow,Diagnostic path can be rendered again as structural baseline,Hide baseline controls when unsupported and prevent duplicate hashes,src/ai_fc/dashboard_parts/dashboard.js,buildScenarioChartViewModel/drawFlow,test_no_duplicate_display_and_baseline_path,LOW,None,Removes duplicate layer,No duplicate series hash,Official legacy baseline unaffected
PR3A-R0,V4-PR2-014,HIGH,src/tests/test_scenario_v4_shadow.py,current tests,Only actual-member and boolean mutation tests exist,Add exact replay semantic deterministic freshness representative and UI behavior tests,src/tests/test_scenario_shadow_contract.py,scenario shadow test matrix,test_targeted_and_full_suite,LOW,None,Improved regression coverage,All targeted tests pass,R0 measurements captured independently
