evidence_id,dependency_cluster_id,effective_strength,used_numerically,role
bls_actual_2026_07,bls_empsit_2026_07,0.3,true,labor_growth_risk
fed_rate_distribution_pre_post,cme_fed_funds_futures,0.25,true,policy_relief
post_jobs_cross_asset_state,post_jobs_market_state,0.1,true,weak_cross_asset_state
v5_1_ancestor_candidate,scenario_ancestor,0.0,false,reference_only_endogenous_circularity_blocked
kiplinger_jobs_consensus_and_commentary,bls_empsit_2026_07,0.0,false,consensus_field_only; narrative reference only
dotcom_knn_single_cycle_analog,dotcom_single_cycle_analog,0.6,true,S1_only_soft_likelihood_S2_S3_exactly_zero
dotcom_daily_path_generator_source,dotcom_single_cycle_analog,0.0,true,path_generator_source_under_same_dotcom_cluster_no_extra_strength
approved_human_dotcom_model_risk_view,dotcom_single_cycle_analog,0.0,false,approval_receipt_for_same_dotcom_dependency_cluster
modern_nasdaq_actual_history_reference,actual_history_display_anchor,0.0,true,actual_history_and_legacy_anchor_validation_not_scenario_geometry
macro_easing_expansion_origin_cohort,macro_easing_expansion_origin_set,0.0,true,S1_auxiliary_40pct_phase_block_pool_disjoint_from_S2_S3
macro_balanced_soft_landing_origin_cohort,macro_balanced_soft_landing_origin_set,0.0,true,S2_only_balanced_mean_reversion_phase_block_pool
macro_tightening_stress_origin_cohort,macro_tightening_stress_origin_set,0.0,true,S3_only_drawdown_failed_relief_stress_persistence_phase_pool
latest_completed_market_anchor,current_official_market_anchor,0.0,true,forecast_time_transport_anchor_only_no_future_jump
v5_2_v3_shadow_candidate,scenario_ancestor,0.0,false,shadow_validation_reference_only
