ID,Area,Severity,Status,Finding,Evidence,Impact,Recommendation,Acceptance Test
HND-001,Package integrity,P0,PASS,Manifested bytes are intact: 412/412 SHA-256 matches; no encrypted entries.,MANIFEST_SHA256.txt; package inspection,Creates a trustworthy static review baseline.,Keep manifest+BOM-safe verifier in every handoff.,Fresh extraction verifies all hashes and rejects traversal/symlink/encryption.
HND-002,Handoff reproducibility,P1,BLOCKED,"The ZIP cannot reproduce the claimed full 383-test run by itself. UI evidence, .git, raw/full DB and optional binary dependencies are absent.",MANIFEST_SUMMARY.json; main/dualdb/ledger test logs,A recipient can verify snapshot determinism but not the complete model/data/UI claim.,"Publish a reproducibility bundle or split it into code, audit-evidence, and data rebuild packs with checksums.",Clean container runs the documented command with no hidden local files; result equals claimed test count.
MOD-001,Scenario dynamics,P1,FAIL,S1/S2/S3 display paths share one common detrended residual and one common strength; scenario-specific intermediate GBM dynamics are discarded.,scenario_structure.py::_structural_paths; normalized-factor tests,"Visually different scenarios are mostly endpoint/baseline variants, not distinct conditional dynamics.",Build scenario-conditioned structural cohorts or preserve conditional path dynamics before applying analog residuals.,Within-year normalized factors and return paths must differ by preregistered minimums without arbitrary noise.
MOD-002,Analog lineage,P1,FAIL,"k-NN finds actual historical neighbor dates, but context_bridge drops those rows; structural forecast uses era labels plus fixed overlay M+42 coordinates.",knn_analog.py::run; context_bridge.py::_analog/_overlay; scenario_structure.py::_analog_shape,Risk-window timing is not the forward path after the selected neighbor dates.,Serialize neighbor IDs/dates/distances and generate forward analog paths from those exact PIT rows.,"Every displayed point traces to neighbor date, source series, forward offset, availability timestamp and hash."
MOD-003,Sensitivity claim,P1,FAIL,"Each era-selection alternative is recalibrated back to the same 12.19% target, then labelled depth-invariant.",scenario_structure.py::_selection_sensitivity and validation gates,The reported calibrated robustness is mechanically guaranteed and cannot evidence robustness.,Report native sensitivity separately; calibrate once or use out-of-sample calibration independent of candidate selection.,Robustness gate uses untouched alternatives and predeclared thresholds; no candidate-specific retargeting.
MOD-004,Reference-line semantics,P1,FAIL,"The UI’s innovation-cycle reference is a 26-point hardcoded legacy dotcom array, interpolated and clipped, not the current selected-era ensemble.",scenario.py::_ANALOG_VALUES; dashboard.js labels,Label and lineage can mislead users about what data created the line.,Rename as legacy dotcom reference or replace it with a fully serialized current ensemble.,"UI label, serialized metadata, code lineage and tooltip all describe the same generator."
MOD-005,Cross-year continuity,P1,PARTIAL,Residual detrending and endpoint baselines restart independently at each calendar year.,scenario_structure.py::_year_residual/_structural_paths,The 2027 segment can contain an artificial regime reset and nearly identical scenario timing.,"Use one continuous horizon or an explicit state-transition boundary justified by data, not January 1.",Boundary discontinuity/derivative tests pass and 2027 dynamics retain scenario conditioning.
MOD-006,Probability stability,P2,PARTIAL,"S2 contains 302 of 20,000 paths (1.51%, displayed as 2%); classification uses a fixed 2026-07-09 reference and trailing-drift GBM.",scenario.py::build_scenario; path_realism sample_count,Small middle class and fixed thresholds can make S2 weight/endpoint sensitive to modest parameter changes.,"Add bootstrap/parameter sensitivity that reclassifies paths, not terminal-scale-only sensitivity.",Weights and scenario membership are reported across predeclared mu/sigma/lookback/reference perturbations.
DATA-001,Snapshot metadata,P2,FAIL,Structural disclosure text is appended non-idempotently; latest r8 repeats the lead sentence five times.,scenario.py::upgrade_scenario_structure; nasdaq_latest.json,Revision notes accumulate noise and weaken audit readability.,Store disclosures in structured fields and make migration idempotent; correct only through a new immutable revision.,Repeated upgrade is a no-op and note/disclosure cardinality remains one.
PRM-001,Prompt security,P1,FAIL,Retrieved research text is inserted verbatim without an explicit untrusted-data boundary or instruction-in-source rejection rule.,reasoning_core.py::build_user_prompt; profiles.py,Source-page prompt injection can influence synthesis.,Wrap evidence as quoted data objects and add non-execution rules plus injection tests.,Adversarial instructions inside evidence cannot alter system procedure or output schema.
